BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT,
,OFFICE OF THE SPEAKER,2015,2015Q1,PERSONNEL BENEFITS,"6,249.99","6,249.99",
,OFFICE OF THE SPEAKER,2015,2015Q1,PERSONNEL COMPENSATION,"1,430,350.66","1,430,350.66",
,OFFICE OF THE SPEAKER,2015,2015Q1,TRAVEL,"1,207.64","1,207.64",
,OFFICE OF THE SPEAKER,2015,2015Q1,PRINTING AND REPRODUCTION,"3,579.60","3,579.60",
,OFFICE OF THE SPEAKER,2015,2015Q1,SUPPLIES AND MATERIALS,"73,721.61","73,721.61",
,OFFICE OF THE MAJORITY LEADER,2015,2015Q1,PERSONNEL COMPENSATION,"520,931.67","520,931.67",
,OFFICE OF THE MAJORITY LEADER,2015,2015Q1,TRAVEL,12,12,
,OFFICE OF THE MAJORITY LEADER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES",45.92,45.92,
,OFFICE OF THE MAJORITY LEADER,2015,2015Q1,PRINTING AND REPRODUCTION,108.2,108.2,
,OFFICE OF THE MAJORITY LEADER,2015,2015Q1,SUPPLIES AND MATERIALS,"10,590.01","10,590.01",
,OFFICE OF THE MINORITY LEADER,2015,2015Q1,SUPPLIES AND MATERIALS,"2,063.12","2,063.12",
,OFFICE OF THE MINORITY LEADER,2015,2015Q1,PERSONNEL COMPENSATION,"1,299,455.12","1,299,455.12",
,OFFICE OF THE MINORITY LEADER,2015,2015Q1,TRAVEL,"12,292.12","12,292.12",
,OFFICE OF THE MINORITY LEADER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES",406.01,406.01,
,OFFICE OF THE MINORITY LEADER,2015,2015Q1,PRINTING AND REPRODUCTION,"1,905.60","1,905.60",
,OFFICE OF THE MINORITY LEADER,2015,2015Q1,OTHER SERVICES,"22,884.00","22,884.00",
,OFFICE OF THE MINORITY LEADER,2015,2015Q1,SUPPLIES AND MATERIALS,"25,951.48","25,951.48",
,OFFICE OF THE MAJORITY WHIP,2015,2015Q1,PERSONNEL COMPENSATION,"395,270.14","395,270.14",
,OFFICE OF THE MAJORITY WHIP,2015,2015Q1,TRAVEL,529.51,529.51,
,OFFICE OF THE MAJORITY WHIP,2015,2015Q1,PRINTING AND REPRODUCTION,13,13,
,OFFICE OF THE MAJORITY WHIP,2015,2015Q1,SUPPLIES AND MATERIALS,"4,099.38","4,099.38",
,OFFICE OF THE MINORITY WHIP,2015,2015Q1,PERSONNEL COMPENSATION,"540,382.52","540,382.52",
,OFFICE OF THE MINORITY WHIP,2015,2015Q1,TRAVEL,605.8,605.8,
,OFFICE OF THE MINORITY WHIP,2015,2015Q1,PRINTING AND REPRODUCTION,40,40,
,OFFICE OF THE MINORITY WHIP,2015,2015Q1,SUPPLIES AND MATERIALS,651.65,651.65,
,DEMOCRATIC CAUCUS,2015,2015Q1,PERSONNEL COMPENSATION,"317,996.49","317,996.49",
,DEMOCRATIC CAUCUS,2015,2015Q1,TRAVEL,"5,520.70","5,520.70",
,DEMOCRATIC CAUCUS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES",101.37,101.37,
,DEMOCRATIC CAUCUS,2015,2015Q1,OTHER SERVICES,208.98,208.98,
,DEMOCRATIC CAUCUS,2015,2015Q1,SUPPLIES AND MATERIALS,"11,066.45","11,066.45",
,REPUBLICAN CONFERENCE,2015,2015Q1,PERSONNEL COMPENSATION,"319,385.30","319,385.30",
,REPUBLICAN CONFERENCE,2015,2015Q1,TRAVEL,"1,660.38","1,660.38",
,REPUBLICAN CONFERENCE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES",750,750,
,REPUBLICAN CONFERENCE,2015,2015Q1,OTHER SERVICES,"2,000.00","2,000.00",
