BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2015,2015Q2,PERSONNEL BENEFITS,"12,499.98","6,249.99"
,OFFICE OF THE SPEAKER,2015,2015Q2,PERSONNEL COMPENSATION,"2,906,234.53","1,475,883.87"
,OFFICE OF THE SPEAKER,2015,2015Q2,TRAVEL,"3,647.34","2,439.70"
,OFFICE OF THE SPEAKER,2015,2015Q2,"RENT, COMMUNICATION, UTILITIES",496.60,496.60
,OFFICE OF THE SPEAKER,2015,2015Q2,PRINTING AND REPRODUCTION,"10,475.50","6,895.90"
,OFFICE OF THE SPEAKER,2015,2015Q2,OTHER SERVICES,"3,285.20","3,285.20"
,OFFICE OF THE SPEAKER,2015,2015Q2,SUPPLIES AND MATERIALS,"150,161.92","76,440.31"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q2,PERSONNEL COMPENSATION,"1,018,715.00","497,783.33"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q2,TRAVEL,12.00,0.00
,OFFICE OF THE MAJORITY LEADER,2015,2015Q2,"RENT, COMMUNICATION, UTILITIES",748.15,702.23
,OFFICE OF THE MAJORITY LEADER,2015,2015Q2,PRINTING AND REPRODUCTION,"1,972.50","1,864.30"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q2,SUPPLIES AND MATERIALS,"23,630.54","13,040.53"
,OFFICE OF THE MINORITY LEADER,2015,2015Q2,SUPPLIES AND MATERIALS,"10,000.00","7,936.88"
,OFFICE OF THE MINORITY LEADER,2015,2015Q2,PERSONNEL COMPENSATION,"2,656,688.46","1,357,233.34"
,OFFICE OF THE MINORITY LEADER,2015,2015Q2,TRAVEL,"35,702.58","23,410.46"
,OFFICE OF THE MINORITY LEADER,2015,2015Q2,"RENT, COMMUNICATION, UTILITIES",567.55,161.54
,OFFICE OF THE MINORITY LEADER,2015,2015Q2,PRINTING AND REPRODUCTION,"3,076.80","1,171.20"
,OFFICE OF THE MINORITY LEADER,2015,2015Q2,OTHER SERVICES,"45,768.00","22,884.00"
,OFFICE OF THE MINORITY LEADER,2015,2015Q2,SUPPLIES AND MATERIALS,"46,893.17","20,941.69"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q2,PERSONNEL COMPENSATION,"789,644.39","394,374.25"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q2,TRAVEL,"4,416.19","3,886.68"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q2,PRINTING AND REPRODUCTION,357.06,344.06
,OFFICE OF THE MAJORITY WHIP,2015,2015Q2,SUPPLIES AND MATERIALS,"13,216.77","9,117.39"
,OFFICE OF THE MINORITY WHIP,2015,2015Q2,PERSONNEL COMPENSATION,"1,094,029.15","553,646.63"
,OFFICE OF THE MINORITY WHIP,2015,2015Q2,TRAVEL,"1,090.38",484.58
,OFFICE OF THE MINORITY WHIP,2015,2015Q2,PRINTING AND REPRODUCTION,40.00,0.00
,OFFICE OF THE MINORITY WHIP,2015,2015Q2,SUPPLIES AND MATERIALS,651.65,0.00
,DEMOCRATIC CAUCUS,2015,2015Q2,PERSONNEL COMPENSATION,"637,502.81","319,506.32"
,DEMOCRATIC CAUCUS,2015,2015Q2,TRAVEL,"5,520.70",0.00
,DEMOCRATIC CAUCUS,2015,2015Q2,"RENT, COMMUNICATION, UTILITIES",949.37,848.00
,DEMOCRATIC CAUCUS,2015,2015Q2,OTHER SERVICES,334.92,125.94
,DEMOCRATIC CAUCUS,2015,2015Q2,SUPPLIES AND MATERIALS,"33,547.92","22,481.47"
,REPUBLICAN CONFERENCE,2015,2015Q2,PERSONNEL COMPENSATION,"622,158.85","302,773.55"
,REPUBLICAN CONFERENCE,2015,2015Q2,TRAVEL,"9,681.84","8,021.46"
,REPUBLICAN CONFERENCE,2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","2,613.16","1,863.16"
,REPUBLICAN CONFERENCE,2015,2015Q2,PRINTING AND REPRODUCTION,444.36,444.36
,REPUBLICAN CONFERENCE,2015,2015Q2,OTHER SERVICES,"22,000.00","20,000.00"
,REPUBLICAN CONFERENCE,2015,2015Q2,SUPPLIES AND MATERIALS,"47,905.73","33,950.12"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"2,101,558.18",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"42,280,172.22","14,090,462.71"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,0.00,"-15,186.24"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,125.10,54.67
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"31,274.00","12,021.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"103,603.64","76,193.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"273,468.90","189,673.66"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,TRAVEL,"110,934.08","55,195.40"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,TRANSPORTATION OF THINGS,"13,500.00","13,500.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","616,379.80","230,067.08"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,"17,008.67","6,805.93"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"768,485.95","483,322.23"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"553,240.24","196,989.30"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"271,639.67","111,030.08"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","25,469.70","15,996.37"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"1,996,118.19","997,994.56"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"87,277.86","21,955.30"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"16,496.40",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES",154.32,128.73
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,"1,600.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"38,455.28","38,255.28"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"53,636.34","21,914.34"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"157,875.03",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"255,657.43",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"20,139.90","20,139.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"610,274.09","90,733.60"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"635,100.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"145,438.51","130,181.36"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,901.18,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"180,000.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,120.00,120.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"18,835.44","18,835.44"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","22,262.72","22,262.72"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"734,367.91","734,305.22"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"108,307.32","60,397.02"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,79.00,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"34,639.90","34,639.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"511,913.96","511,913.96"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"648,000.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"9,319.20","9,319.20"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"19,776.55","19,776.55"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,186.80,186.80
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"218,260.00","41,510.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"272,641.71","69,897.10"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"71,095.22","36,792.71"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"1,030.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,129.10,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"1,638.12","1,638.12"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"86,520.73","86,520.73"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"1,105.55",900.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"1,568.23","1,568.23"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","9,720.66","3,285.22"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"7,762.56","5,314.56"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"4,514.19",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"876,704.59","469,604.79"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"446,296.40","275,298.40"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"102,316.30","101,816.35"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"2,029,136.72","175,015.42"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","2,298,443.57","1,003,422.45"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"19,471.18","19,471.18"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"5,090.90","5,090.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"515,486.09",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"211,461.75","132,293.30"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"25,914.20","16,050.21"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"646,923.79","144,406.20"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"12,863.65","38,553.77"
