BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2017,2017Q2,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2862926.4,1445231.03
,OFFICE OF THE SPEAKER,2017,2017Q2,GENERAL EXPENDITURES,TRAVEL,2862.02,1451.13
,OFFICE OF THE SPEAKER,2017,2017Q2,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,716.63,0
,OFFICE OF THE SPEAKER,2017,2017Q2,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1555.95,262.25
,OFFICE OF THE SPEAKER,2017,2017Q2,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,76703.61,37884.43
,OFFICE OF THE SPEAKER,2017,2017Q2,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2944764.61,1484828.84
,OFFICE OF THE SPEAKER,2017,2017Q2,GENERAL EXPENDITURES,OFFICE TOTALS:,2944764.61,1484828.84
,OFFICE OF THE MAJORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,898005.58,452683.34
,OFFICE OF THE MAJORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,TRAVEL,31.99,0
,OFFICE OF THE MAJORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,343,245
,OFFICE OF THE MAJORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,12.9,0
,OFFICE OF THE MAJORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,OTHER SERVICES,2340,1755
,OFFICE OF THE MAJORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,22649.86,8071.33
,OFFICE OF THE MAJORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,923383.33,462754.67
,OFFICE OF THE MAJORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,OFFICE TOTALS:,923383.33,462754.67
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,1004.42,1004.42
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,1004.42,1004.42
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2709657.5,1411005.63
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,TRAVEL,38944.04,23775.76
