BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
,2017 OFFICE OF THE SPEAKER,2017,Q3,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4315690.25,1452763.85
,2017 OFFICE OF THE SPEAKER,2017,Q3,GENERAL EXPENDITURES,TRAVEL,12888.05,10026.03
,2017 OFFICE OF THE SPEAKER,2017,Q3,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,716.63,0
,2017 OFFICE OF THE SPEAKER,2017,Q3,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1366.1,-189.85
,2017 OFFICE OF THE SPEAKER,2017,Q3,GENERAL EXPENDITURES,OTHER SERVICES,20,20
,2017 OFFICE OF THE SPEAKER,2017,Q3,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,133726.64,57023.03
,2017 OFFICE OF THE SPEAKER,2017,Q3,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,4464407.67,1519643.06
,2017 OFFICE OF THE SPEAKER,2017,Q3,GENERAL EXPENDITURES,OFFICE TOTALS:,4464407.67,1519643.06
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q3,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1412130.59,514125.01
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q3,GENERAL EXPENDITURES,TRAVEL,56.38,24.39
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q3,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,441,98
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q3,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,246.85,233.95
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q3,GENERAL EXPENDITURES,OTHER SERVICES,4095,1755
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q3,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,35916.47,13266.61
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q3,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1452886.29,529502.96
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q3,GENERAL EXPENDITURES,OFFICE TOTALS:,1452886.29,529502.96
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,8407.36,7402.94
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,8407.36,7402.94
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4104069.48,1394411.98
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,GENERAL EXPENDITURES,TRAVEL,57568.82,18624.78
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,599.46,338.3
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,20340.25,18146.02
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,GENERAL EXPENDITURES,OTHER SERVICES,67024,25884
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,80019.97,25156.83
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,4329621.98,1482561.91
,2017 OFFICE OF THE MINORITY LEADER,2017,Q3,GENERAL EXPENDITURES,OFFICE TOTALS:,4338029.34,1489964.85
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q3,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1254598.9,449445.22
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q3,GENERAL EXPENDITURES,TRAVEL,13535.63,7450.58
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q3,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,29.95,19.95
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q3,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2650.88,314.49
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q3,GENERAL EXPENDITURES,OTHER SERVICES,634,0
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q3,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,9438.87,6188.92
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q3,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1280888.23,463419.16
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q3,GENERAL EXPENDITURES,OFFICE TOTALS:,1280888.23,463419.16
,2017 OFFICE OF THE MINORITY WHIP,2017,Q3,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1615249.24,552299.24
,2017 OFFICE OF THE MINORITY WHIP,2017,Q3,GENERAL EXPENDITURES,TRAVEL,97.99,61.23
,2017 OFFICE OF THE MINORITY WHIP,2017,Q3,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,24.99,0
,2017 OFFICE OF THE MINORITY WHIP,2017,Q3,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4986.53,4644.77
,2017 OFFICE OF THE MINORITY WHIP,2017,Q3,GENERAL EXPENDITURES,OTHER SERVICES,584.62,485.62
,2017 OFFICE OF THE MINORITY WHIP,2017,Q3,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,713.85,25.9
,2017 OFFICE OF THE MINORITY WHIP,2017,Q3,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1621657.22,557516.76
,2017 OFFICE OF THE MINORITY WHIP,2017,Q3,GENERAL EXPENDITURES,OFFICE TOTALS:,1621657.22,557516.76
,2017 DEMOCRATIC CAUCUS,2017,Q3,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,771215.23,330335.74
,2017 DEMOCRATIC CAUCUS,2017,Q3,GENERAL EXPENDITURES,TRAVEL,4861.55,2750.38
,2017 DEMOCRATIC CAUCUS,2017,Q3,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,814.13,750
,2017 DEMOCRATIC CAUCUS,2017,Q3,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1391.5,54.63
,2017 DEMOCRATIC CAUCUS,2017,Q3,GENERAL EXPENDITURES,OTHER SERVICES,1180.4,136.47
,2017 DEMOCRATIC CAUCUS,2017,Q3,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,89235.91,27147.66
,2017 DEMOCRATIC CAUCUS,2017,Q3,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,868698.72,361174.88
,2017 DEMOCRATIC CAUCUS,2017,Q3,GENERAL EXPENDITURES,OFFICE TOTALS:,868698.72,361174.88
,2017 REPUBLICAN CONFERENCE,2017,Q3,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,905921.82,314845.61
,2017 REPUBLICAN CONFERENCE,2017,Q3,GENERAL EXPENDITURES,TRAVEL,2704.01,1398.93
,2017 REPUBLICAN CONFERENCE,2017,Q3,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,720,516.92
,2017 REPUBLICAN CONFERENCE,2017,Q3,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,27188.91,15536.77
,2017 REPUBLICAN CONFERENCE,2017,Q3,GENERAL EXPENDITURES,OTHER SERVICES,26791.81,26470.82
,2017 REPUBLICAN CONFERENCE,2017,Q3,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,98430.75,39290.16
,2017 REPUBLICAN CONFERENCE,2017,Q3,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1061757.3,398059.21
,2017 REPUBLICAN CONFERENCE,2017,Q3,GENERAL EXPENDITURES,OFFICE TOTALS:,1061757.3,398059.21
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,MICROSOFT ENTERPRISE LICENSES,EQUIPMENT,2346359,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,MICROSOFT ENTERPRISE LICENSES,MICROSOFT ENTERPRISE LICENSES TOTALS:,2346359,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,62494632.85,16259399.49
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,62494632.85,16259399.49
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,RECEPTIONS,SUPPLIES AND MATERIALS,793.88,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,RECEPTIONS,RECEPTIONS TOTALS:,793.88,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TRADITIONAL FURNITURE,TRANSPORTATION OF THINGS,2620,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TRADITIONAL FURNITURE,PRINTING AND REPRODUCTION,66.5,66.5
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TRADITIONAL FURNITURE,SUPPLIES AND MATERIALS,327065.65,130467.64
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TRADITIONAL FURNITURE,EQUIPMENT,520827.3,199867.64
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TRADITIONAL FURNITURE,TRADITIONAL FURNITURE TOTALS:,850579.45,330401.78
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ADMIN AND OPS,TRAVEL,234054.97,126822.63
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ADMIN AND OPS,TRANSPORTATION OF THINGS,525.64,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,867641.02,232723.89
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ADMIN AND OPS,PRINTING AND REPRODUCTION,44247.38,10053.49
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ADMIN AND OPS,OTHER SERVICES,1344774.39,695600.8
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ADMIN AND OPS,SUPPLIES AND MATERIALS,1249802.85,490734.78
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ADMIN AND OPS,EQUIPMENT,714263.24,263681.48
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ADMIN AND OPS,ADMIN AND OPS TOTALS:,4455309.49,1819617.07
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,28001.66,10855.13
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,2778316.72,1017488.24
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,110722.66,34382.35
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,2917041.04,1062725.72
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,BANQUET ROOM AUDIO/VISUAL,OTHER SERVICES,30210,19620.6
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,BANQUET ROOM AUDIO/VISUAL,BANQUET ROOM AUDIO/VISUAL TOTALS:,30210,19620.6
