BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2018 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OTHER SERVICES,362,0
,2018 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,362,0
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,563.13,430.06
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3868310.27,1174904.25
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,10209.92,3524.94
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,28208.32,19704.64
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2298.5,435.65
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,47894.55,23834.6
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,113213.72,32697.49
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,12092,7719
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,4082790.41,1263250.63
,2018 OFFICE OF THE SPEAKER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,49999.98,24999.99
,2018 OFFICE OF THE SPEAKER,CONFERENCE SECRETARY,CONFERENCE SECRETARY TOTALS:,49999.98,24999.99
,2018 OFFICE OF THE SPEAKER,NRCC,PERSONNEL COMPENSATION,49999.98,24999.99
,2018 OFFICE OF THE SPEAKER,NRCC,NRCC TOTALS:,49999.98,24999.99
,2018 OFFICE OF THE SPEAKER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,49999.98,24999.99
,2018 OFFICE OF THE SPEAKER,CONFERENCE VICE CHAIR,CONFERENCE VICE CHAIR TOTALS:,49999.98,24999.99
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,75700.02,38300.01
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,REPUBLICAN POLICY COMMITTEE TOTALS:,75700.02,38300.01
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,OFFICE TOTALS:,4308852.37,1376550.61
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1532788.92,538608.88
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,4845.15,2638.38
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,20460.06,13192.7
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,304.99,90.29
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,27680,18630
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,35620.47,11888.44
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,9105.6,8829.2
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1630805.19,593877.89
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,1630805.19,593877.89
,2018 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,8821.05,0
,2018 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,8821.05,0
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,FRANKED MAIL,6.78,1.63
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4261570.86,1448419.89
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,59498.18,30984.48
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,40968.08,30912.47
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,52446.78,22638.45
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,116686.37,61836.66
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,132257.42,33460.23
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,11823.05,10794.3
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,4675257.52,1639048.11
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,4684078.57,1639048.11
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1421296.42,528933.61
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,12465.35,4353.5
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,13842.78,10108.12
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2684.73,1243.8
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,35521.96,23396.96
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,7538.84,5148.15
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,10316.73,5120.73
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1503666.81,578304.87
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,1503666.81,578304.87
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1625481.8,535658.46
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,3417.91,94.91
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,15575.82,11559.19
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2200,2120
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,138488.24,89750.27
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,5844.76,4692.82
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,1615.42,1029
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1792623.95,644904.65
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,1792623.95,644904.65
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,983420.24,317430.58
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,5416.97,299.31
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,12436.23,7857.55
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,352.7,0
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,36732.74,21307.89
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,116131.86,31995.78
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,411,274
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1154901.74,379165.11
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OFFICE TOTALS:,1154901.74,379165.11
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,973410.07,328011.2
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,2928.14,760.84
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,11202.93,8361.39
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,21017.78,10555.01
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,96878.73,69849.83
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,116177.17,47377.12
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,27004.69,18038.04
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1248619.51,482953.43
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OFFICE TOTALS:,1248619.51,482953.43
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,EQUIPMENT,2730853.18,221520
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,ENTERPRISE LICENSES TOTALS:,2730853.18,221520
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,63352808.16,16066099.78
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,63352808.16,16066099.78
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TRADITIONAL FURNITURE,PRINTING AND REPRODUCTION,134.6,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TRADITIONAL FURNITURE,SUPPLIES AND MATERIALS,376034.01,133568.57
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TRADITIONAL FURNITURE,EQUIPMENT,226169.53,69257.18
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TRADITIONAL FURNITURE,TRADITIONAL FURNITURE TOTALS:,602338.14,202825.75
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,159609.83,57385.38
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,35.03,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,910335.44,258652.72
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,45845.14,16820.65
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,2350796.74,1096354.6
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,1280828.22,249985.36
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,444730.59,192794.94
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,ADMIN AND OPS TOTALS:,5192180.99,1871993.65
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,39505.87,10520.45
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,2727256.3,745072.43
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,136899,34343.55
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,2903661.17,789936.43
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,PRINTING AND REPRODUCTION,107.8,107.8
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,OTHER SERVICES,24556.72,3433.2
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,4289.6,3006.52
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,28954.12,6547.52
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,SUPPLIES AND MATERIALS,603.84,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,EQUIPMENT,95480.6,20431.34
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,CONGRESSIONAL STAFF ACADEMY TOTALS:,96084.44,20431.34
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,RENT  COMMUNICATION  UTILITIES,170.91,65.14
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,PRINTING AND REPRODUCTION,24.28,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,OTHER SERVICES,345923.16,113846.68
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,SUPPLIES AND MATERIALS,1942.38,1758.8
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,EQUIPMENT,43200.29,9914.93
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,391261.02,125585.55
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,OTHER SERVICES,536738.82,335842.68
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,EQUIPMENT,179911.01,131632.62
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,716649.83,467475.3
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,OTHER SERVICES,119144.33,88068.67
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,SUPPLIES AND MATERIALS,316.19,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,EQUIPMENT,242343.17,15691.37
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,361803.69,103760.04
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE STORAGE SYSTEMS,TRAVEL,7902.59,0
